time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447100000	19.0796	7.81375	4.9785	1.10366	0.473155	lidar	0.464281	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.198	8.02771	4.97536	1.11759	0.453939	radar	0.42755	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2798	8.23753	4.95042	1.14652	0.464071	lidar	1.73048	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.377	8.45432	4.94391	1.15928	0.434947	radar	2.50766	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4767	8.60786	4.87248	1.16312	0.417131	lidar	5.7247	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5613	8.82846	4.86243	1.19328	0.441151	radar	0.793186	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7323	8.9926	4.83068	1.16746	0.381151	lidar	5.0387	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.7967	9.22603	4.82563	1.21317	0.439045	radar	1.00801	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9348	9.43345	4.82528	1.20754	0.402957	lidar	2.76764	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9689	9.67097	4.81256	1.27075	0.495578	radar	2.72047	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0612	9.89422	4.8126	1.28381	0.480274	lidar	0.519163	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.12	10.1416	4.83032	1.30465	0.45922	radar	6.76695	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1711	10.3952	4.84861	1.33498	0.467278	lidar	0.309664	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1806	10.6386	4.84131	1.39293	0.537894	radar	2.69174	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2426	10.8936	4.86355	1.41233	0.526481	lidar	1.55858	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2727	11.1464	4.87721	1.43504	0.507133	radar	4.78407	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3078	11.3796	4.86918	1.45719	0.503887	lidar	0.060595	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2463	11.633	4.86338	1.55125	0.64758	radar	9.7515	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3195	11.8674	4.8623	1.55179	0.608254	lidar	5.02587	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3496	12.1027	4.85888	1.54093	0.503797	radar	4.24944	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3403	12.3741	4.88883	1.57327	0.509376	lidar	0.840532	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2869	12.6147	4.88114	1.64216	0.606866	radar	2.81678	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3119	12.8526	4.8759	1.65297	0.583694	lidar	1.98228	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.2987	13.0876	4.86771	1.67841	0.581448	radar	2.13764	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2607	13.3044	4.84188	1.71092	0.588256	lidar	1.18602	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2223	13.5411	4.83964	1.73221	0.561517	radar	1.39469	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.205	13.7923	4.851	1.74977	0.547765	lidar	1.24554	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1471	14.0225	4.8444	1.78882	0.575901	radar	0.808209	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0946	14.2702	4.85695	1.81577	0.572461	lidar	0.271467	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0226	14.5002	4.85392	1.84522	0.56687	radar	1.39373	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9176	14.7451	4.87488	1.88704	0.580906	lidar	1.0974	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8506	14.9671	4.8621	1.89834	0.533348	radar	3.45418	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8191	15.19	4.84246	1.90624	0.51306	lidar	2.26108	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6826	15.3987	4.84124	2.00074	0.6895	radar	7.39132	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6459	15.5972	4.79892	2.01141	0.665224	lidar	4.09971	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5506	15.808	4.78961	2.03338	0.636667	radar	1.56387	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4474	16.0178	4.78434	2.06298	0.634546	lidar	0.0457758	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3453	16.2306	4.77964	2.06981	0.566224	radar	2.04965	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2337	16.4109	4.74948	2.10041	0.571852	lidar	1.03288	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1128	16.611	4.74589	2.12986	0.575372	radar	0.323139	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	18.9871	16.8145	4.74872	2.15681	0.572968	lidar	0.0439749	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8297	17.0034	4.75917	2.22605	0.684339	radar	6.00063	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6654	17.2226	4.79959	2.25927	0.679427	lidar	1.53278	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.562	17.4344	4.78703	2.22547	0.509212	radar	6.35974	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3571	17.616	4.81378	2.27084	0.529997	lidar	3.725	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2193	17.8098	4.80866	2.2667	0.449329	radar	1.92315	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0894	17.9991	4.79863	2.2794	0.438786	lidar	0.891032	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9106	18.1529	4.79114	2.33217	0.513302	radar	2.41401	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.774	18.3039	4.75315	2.35321	0.510639	lidar	1.30239	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6371	18.4884	4.74583	2.3588	0.476273	radar	6.54625	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4511	18.6633	4.76508	2.38485	0.477562	lidar	0.335291	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2669	18.8052	4.75726	2.42603	0.518365	radar	1.95865	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1031	18.9452	4.7333	2.45056	0.51834	lidar	0.484346	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9354	19.1157	4.73788	2.46111	0.49029	radar	2.89428	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7207	19.2291	4.73336	2.50279	0.510787	lidar	2.81018	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5317	19.3804	4.74267	2.5292	0.522147	radar	3.18654	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3162	19.5331	4.7729	2.55473	0.51934	lidar	0.758649	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.091	19.6165	4.76227	2.61214	0.580132	radar	10.1291	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8891	19.7567	4.77445	2.63275	0.569398	lidar	0.752926	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.698	19.8852	4.76149	2.6293	0.485477	radar	3.18253	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4766	20.0323	4.79478	2.64561	0.473597	lidar	1.34758	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2693	20.1708	4.80758	2.65589	0.449903	radar	5.62298	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0789	20.3061	4.80335	2.6651	0.434615	lidar	1.72601	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8491	20.3861	4.8025	2.70846	0.479123	radar	2.28484	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6346	20.5055	4.81144	2.72434	0.469148	lidar	0.62352	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.4016	20.5889	4.82	2.76658	0.517005	radar	1.3672	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.156	20.6618	4.83214	2.80036	0.525579	lidar	0.826537	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9223	20.731	4.83567	2.83934	0.558708	radar	0.315956	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6533	20.7904	4.86688	2.87647	0.567468	lidar	2.03687	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.4092	20.8185	4.86731	2.937	0.645482	radar	1.92315	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1601	20.8591	4.87516	2.97247	0.64864	lidar	0.194321	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9309	20.9184	4.87045	2.98947	0.618936	radar	1.86339	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7192	20.9671	4.84718	3.01148	0.610274	lidar	1.69058	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4722	21.0064	4.85794	3.03764	0.603285	radar	2.66305	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2243	21.0436	4.86992	3.06207	0.595347	lidar	0.261469	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9873	21.0634	4.86671	3.09265	0.602418	radar	0.863986	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7391	21.0351	4.86136	3.13776	0.620962	lidar	1.72129	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4938	21.0218	4.86005	3.17131	0.620153	radar	1.04403	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.269	21.0182	4.84295	3.19881	0.617324	lidar	0.596981	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0179	20.9791	4.84822	3.23737	0.62322	radar	4.09256	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.798	20.9436	4.82441	3.27214	0.629682	lidar	0.482142	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5475	20.9474	4.82675	3.26377	0.53302	radar	5.77905	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.276	20.9753	4.86861	3.26389	0.496516	lidar	3.5166	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0363	20.9569	4.86829	3.2823	0.487789	radar	0.987679	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.82986	20.9233	4.83185	3.30665	0.490202	lidar	1.6326	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.58801	20.9195	4.82535	3.2942	0.404442	radar	1.80388	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
